Prod:;Derivação;Mês;Código+Derivação;Processo;Classificação Insumos;Estágio;C. Custo;Produto;Deriv.;Descrição;a;Complemento;a2;Consumo Total;a3;U.M.;Custo Direto Unit.;CIF;a4;Custo Padrão;Entrada/Saída
CHF00011A;040;01/11/2025;CHF00011A-040;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011A;050;01/11/2025;CHF00011A-050;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011A;060;01/11/2025;CHF00011A-060;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011A;VAR;01/11/2025;CHF00011A-VAR;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011A;REJ;01/11/2025;CHF00011A-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011B;040;01/11/2025;CHF00011B-040;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011B;050;01/11/2025;CHF00011B-050;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011B;060;01/11/2025;CHF00011B-060;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011B;VAR;01/11/2025;CHF00011B-VAR;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011B;REJ;01/11/2025;CHF00011B-REJ;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011C;040;01/11/2025;CHF00011C-040;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
CHF00011C;050;01/11/2025;CHF00011C-050;0;MOD;1000;860;;;PO-01 - Linha de Polimento Pedrini;;;;0,006;;M;0;0;;0;
